"""#donateblood for #Harvey and #Irma's victims",Rescue
"""Hurricane #Harvey's impact on #cotton &amp; #sugarcane",Non-Rescue
"""Canteen crews briefing before a 10+ hour shift feeding hungry folks two meals around Victoria",Non-Rescue
"""RT @BakerRipley: There are many ways to help",Rescue
"""RT @LindseyBlestLNP: When @lancasterbible told students about a trip to #Houston for #Harvey clean up",Non-Rescue
"""RT @ABC: Firefighters rescue horse stranded in rising floodwaters caused by #Harvey in College Station",Rescue
"""RT @SecretaryCarson: With Becky Ames",Non-Rescue
"""RT @noturbine: For hurricane victims",Rescue
"""RT @USTadmissions: Like so many",Rescue
"""This is #HurricaneSandy but it might as well be #Harvey #Irma #Jose or #Maria #HelpIsNeeded ...still",Non-Rescue
"""Strike Team Delta was humbled to serve &amp; reminisce with Alton",Non-Rescue
"""It may not seem like it after #Harvey",Non-Rescue
"""GET HELP | FEMA Disaster Recovery Centers now open in Hardin",Non-Rescue
"""RT @SchwartzChron: Unauthorized dump sites relieve some residents",Non-Rescue
"""Self-storage units highly sought after in recovery efforts",Non-Rescue
"""Score one of my #Loteria Final Drawings and help #Harvey",Rescue
"""Hurricane #Harvey victims still need help! Stand with Texas",Rescue
"""Unbeknownst to us residents of Canyon Gate",Non-Rescue
"""Wow. This kid didn't have a boat",Rescue
"""@fox_sheldon @wsvn I wish I could get around enough to help all the victims of these horrible storms #Harvey",Rescue
"""@Kforce is helping #Houston and #Florida rebuild",Rescue
"""Dow has restarted its #polyethylene complex in Seadrift",Non-Rescue
"""In the midst of recovery and sales",Non-Rescue
"""To my Houstonian neighbors affected by #Harvey ",Rescue
"""I'm back in Houston for a follow up story after #Harvey Almost a month later",Non-Rescue
"""1\3 This week has been hard. Recovery effort underway for #Harvey",Non-Rescue
"""Tmrw at the #HSSFarmersMarket: Free yoga class",Rescue
"""RT @sinfiltros_com: Ms all de los hurcanaes #Harvey e #Irma",Non-Rescue
"""Assessing the damage from hurricane season",Non-Rescue
"""@AjitPaiFCC TEACHES Ms. Rose TEACHES K. Sorry",Non-Rescue
"""RT @fema: Our #Harvey page has resources in Espaol",Non-Rescue
"""The @noladatacenter has shown this for #nola.  Impt for #harvey #irma #MariaPR recovery too h/t @JenSmith504 https://t.co/uH7QJ7tG57""",Non-Rescue
""".@WANationalGuard airmen orchestrated &gt;800 Texas rescues remotely from air defense center near Tacoma during #Harvey https://t.co/Ji7bS9Huyl""",Rescue
"""RT @rweingarten: Before #Harvey hit",Rescue
"""RT @USMC_DDSS: When #Harvey hit Texas",Rescue
"""RT @USArmyNorth: Your #USArmy is flexible. While helping state &amp; federal partners with #Harvey &amp; #Irma",Rescue
"""@noaaocean @NavKaz Be sure to tweet link for #Harvey too",Rescue
""".@GovAbbott back on post-#Harvey trail Fri.",Non-Rescue
"""It's not about whether or not someone else gave",Rescue
"""While things are bleak post #Harvey #Irma",Rescue
"""@XFINITY Gave ALL FREE WiFi  d/t #Harvey bc @ComcastCares 2 Keep #HoustonStrong! @ATT cut off ppl d/t AT&amp;T mistakes w/o warning",Non-Rescue
"""RT @12NewsNow: CONCERT SOLD OUT: Willie Nelson",Rescue
"""#ParentsFAIL=#NoOffense Mom &amp; Dad",Non-Rescue
"""RT @CajunAngela: Whatever we're facing here",Non-Rescue
"""Because we've been through a lot of hurricanes over the years! Sending thoughts to all #hurricanemaria2017 #irma https://t.co/EBALPNlB9z""",Non-Rescue
"""@NKF_GCS using our #GIS tools to help clients with #Harvey and #Irma",Rescue
"""RT @69NewsBusiness: #Yuengling Brewery donates $50K to support relief efforts after hurricanes #Harvey",Rescue
"""RT @AbcoSpecialties: #Flooding #Harvey Free #Bankruptcy Consultation W/Lawyer in  Conroe",Non-Rescue
