label,id
confirmation, 1
oppose, 2
senjeffmerkley, 3
devo, 4
sec, 5
executive, 6
mcconnell, 7
cory, 8
cnn, 9
child, 10
que, 11
tim, 12
wish, 13
public, 14
bipartisan, 15
las, 16
doesn, 17
equifax, 18
mike, 19
director, 20
worker, 21
ally, 22
reject, 23
insurance, 24
survivor, 25
saveaca, 26
consumer, 27
una, 28
rep, 29
shameful, 30
investment, 31
democracy, 32
gut, 33
booker, 34
nyer, 35
water, 36
nominee, 37
disastrous, 38
senatormenendez, 39
speak, 40
esp, 41
taxpayer, 42
tweet, 43
puerto, 44
drug, 45
congressional, 46
war, 47
happening, 48
power, 49
sensander, 50
heart, 51
threat, 52
sen, 53
pipeline, 54
con, 55
air, 56
isn, 57
country, 58
white, 59
est, 60
hurricane, 61
business, 62
headed, 63
amp, 64
taxe, 65
schumer, 66
tonight, 67
corybooker, 68
law, 69
vulnerable, 70
mulvaney, 71
cfpb, 72
icymi, 73
trumpcare, 74
ronwyden, 75
wealthiest, 76
affordable, 77
ahca, 78
constituent, 79
coverage, 80
hard, 81
senbookeroffice, 82
incarceration, 83
young, 84
voice, 85
graham, 86
poor, 87
women, 88
nom, 89
trumptax, 90
didn, 91
protecting, 92
door, 93
gorsuch, 94
son, 95
strengthen, 96
outrageous, 97
budget, 98
democratic, 99
congress, 100
climatechange, 101
senator, 102
markwarner, 103
kaine, 104
daca, 105
puzder, 106
newark, 107
aren, 108
trump, 109
import, 110
devastating, 111
hear, 112
poll, 113
repeal, 114
aumf, 115
passe, 116
facebook, 117
parenthood, 118
epa, 119
king, 120
honored, 121
planet, 122
pruitt, 123
ban, 124
spending, 125
rebuild, 126
anniversary, 127
volunteer, 128
senate, 129
wage, 130
billionaire, 131
fired, 132
answer, 133
senfranken, 134
chrismurphyct, 135
virginian, 136
sander, 137
ghelmy, 138
money, 139
nobannowall, 140
realdonaldtrump, 141
congratulation, 142
scotus, 143
trillion, 144
kid, 145
senategop, 146
emergency, 147
ppl, 148
tomorrow, 149
dreamer, 150
safer, 151
land, 152
introducing, 153
marijuana, 154
californian, 155
info, 156
nomination, 157
grahamcassidy, 158
aca, 159
nuclear, 160
para, 161
berniesander, 162
jeff, 163
tillerson, 164
morning, 165
greed, 166
voted, 167
senbobcasey, 168
senbooker, 169
fire, 170
head, 171
senatemajldr, 172
sabotage, 173
friend, 174
repealing, 175
senschumer, 176
fake, 177
massive, 178
senatedem, 179
gov, 180
loan, 181
obama, 182
environment, 183
syria, 184
nodapl, 185
womensmarch, 186
netneutrality, 187
hosting, 188
mom, 189
obamacare, 190
richmond, 191
weaken, 192
threaten, 193
