JimPressOffice,6950
RepAdams,11655
RepGaramendi,25961
SenAlexander,92095
RepAlGreen,50070
RepTomRice,15225
Rep_SteveWomack,18794
RepBonnie,22366
RepJaredPolis,16259
RepSusanDavis,18533
RepJudyChu,57585
RepSpeier,124361
repdonbacon,5918
GrahamBlog,119782
RepVisclosky,13378
RepJayapal,68041
RepCardenas,18245
RepGusBilirakis,27892
MikeCrapo,74806
reprohrabacher,6276
RepMarkTakano,46886
RepMikeQuigley,38272
SenatorIsakson,59292
RepDwightEvans,11666
congressmanhice,17283
RepBillShuster,21236
ChrisCoons,118998
RoyBlunt,93422
RepDavid,24520
RepJohnLewis,991595
RepTipton,21194
RepByrne,18882
SenWarren,4644049
RepFredUpton,23175
RepBobGibbs,34338
USRepMikeDoyle,17434
EleanorNorton,30391
DarrellIssa,300940
SenTomCotton,135682
SenatorRounds,18929
RepPoliquin,9834
SenatorLeahy,172419
SenJeffMerkley,414895
McConnellPress,81100
RepJoshG,6481
DrPhilRoe,16864
RepJeffries,58855
RepDannyDavis,10629
RepDelBene,23628
SenatorRisch,66455
RepDanKildee,33068
RepKevinBrady,40020
RepThomasMassie,49291
ConawayTX11,15780
RepRickLarsen,17218
RepKayGranger,19297
NormaJTorres,16559
RepJoeCrowley,32230
SenSherrodBrown,349681
SenBrianSchatz,44162
TXRandy14,14173
MarkWarner,417323
RepLanceNJ7,16646
PeterWelch,14695
repbrianmast,10559
RepStephMurphy,16392
RepBrady,13329
RepHensarling,26767
RepMoBrooks,27710
JeffFortenberry,19502
RepRoybalAllard,22437
RepRyanCostello,14920
SenatorCarper,88305
WarrenDavidson,8432
RepGoodlatte,103995
KenCalvert,17204
RepLoudermilk,13927
RepRubenGallego,71926
RepPittenger,14561
RepMikeBishop,13937
NancyPelosi,1669492
SteveScalise,275343
RepRWilliams,10200
RepPeterDeFazio,25873
RepScottPerry,14854
SenBooker,123573
SenOrrinHatch,125728
BobbyScott,29458
RepBuddyCarter,14032
RepMarkWalker,12160
RobWittman,26098
RepLloydDoggett,30324
RepMullin,17091
RepPaulCook,14840
SenatorCollins,487105
RepJoeKennedy,720316
RepBera,29575
RepVeasey,19372
RepBenRayLujan,17766
RodneyDavis,18598
RepHalRogers,15066
RepSanfordSC,12399
RepRobBishop,3439
SenSchumer,1521223
RepDonBeyer,63481
RepLoBiondo,16916
RepWilson,65238
senthomtillis,66250
LisaMurkowski,237088
RepLouBarletta,27634
DaveLoebsack,7886
RepDianaDeGette,41768
RepJuanVargas,18719
MichaelCBurgess,27248
RepDavidRouzer,7799
RepDougCollins,17388
SenatorTimScott,372466
RepMattGaetz,152808
RepMikeCoffman,40921
DesJarlaisTN04,16288
RandPaul,2401919
RepLaHood,10432
repdavetrott,14236
RepPerlmutter,30305
SenatorMenendez,154501
RepJohnDelaney,19405
SenatorShaheen,97704
RepJimCosta,16776
BlumenauerMedia,3056
RepCummings,234434
