,name,followers,id,party
0,JimPressOffice,6950,S000244,Republican
1,RepAdams,11655,A000370,Democrat
2,RepGaramendi,25961,G000559,Democrat
3,SenAlexander,92095,A000360,Republican
4,RepAlGreen,50070,G000553,Democrat
5,RepTomRice,15225,R000597,Republican
6,Rep_SteveWomack,18794,W000809,Republican
7,RepBonnie,22366,W000822,Democrat
8,RepJaredPolis,16259,P000598,Democrat
9,RepSusanDavis,18533,D000598,Democrat
10,RepJudyChu,57585,C001080,Democrat
11,RepSpeier,124361,S001175,Democrat
12,repdonbacon,5918,B001298,Republican
13,GrahamBlog,119782,G000359,Republican
14,RepVisclosky,13378,V000108,Democrat
15,RepJayapal,68041,J000298,Democrat
16,RepCardenas,18245,C001097,Democrat
17,RepGusBilirakis,27892,B001257,Republican
18,MikeCrapo,74806,C000880,Republican
19,reprohrabacher,6276,R000409,Republican
20,RepMarkTakano,46886,T000472,Democrat
21,RepMikeQuigley,38272,Q000023,Democrat
22,SenatorIsakson,59292,I000055,Republican
23,RepDwightEvans,11666,E000296,Democrat
24,congressmanhice,17283,H001071,Republican
25,RepBillShuster,21236,S001154,Republican
26,ChrisCoons,118998,C001088,Democrat
27,RoyBlunt,93422,B000575,Republican
28,RepDavid,24520,S001183,Republican
29,RepJohnLewis,991595,L000287,Democrat
30,RepTipton,21194,T000470,Republican
31,RepByrne,18882,B001289,Republican
32,SenWarren,4644049,W000817,Democrat
33,RepFredUpton,23175,U000031,Republican
34,RepBobGibbs,34338,G000563,Republican
35,USRepMikeDoyle,17434,D000482,Democrat
36,EleanorNorton,30391,N000147,Democrat
37,DarrellIssa,300940,I000056,Republican
38,SenTomCotton,135682,C001095,Republican
39,SenatorRounds,18929,R000605,Republican
40,RepPoliquin,9834,P000611,Republican
41,SenatorLeahy,172419,L000174,Democrat
42,SenJeffMerkley,414895,M001176,Democrat
43,McConnellPress,81100,M000355,Republican
44,RepJoshG,6481,G000583,Democrat
45,DrPhilRoe,16864,R000582,Republican
46,RepJeffries,58855,J000294,Democrat
47,RepDannyDavis,10629,D000096,Democrat
48,RepDelBene,23628,D000617,Democrat
49,SenatorRisch,66455,R000584,Republican
50,RepDanKildee,33068,K000380,Democrat
51,RepKevinBrady,40020,B000755,Republican
52,RepThomasMassie,49291,M001184,Republican
53,ConawayTX11,15780,C001062,Republican
54,RepRickLarsen,17218,L000560,Democrat
55,RepKayGranger,19297,G000377,Republican
56,NormaJTorres,16559,T000474,Democrat
57,RepJoeCrowley,32230,C001038,Democrat
58,SenSherrodBrown,349681,B000944,Democrat
59,SenBrianSchatz,44162,S001194,Democrat
60,TXRandy14,14173,W000814,Republican
61,MarkWarner,417323,W000805,Democrat
62,RepLanceNJ7,16646,L000567,Republican
63,PeterWelch,14695,W000800,Democrat
64,repbrianmast,10559,M001199,Republican
65,RepStephMurphy,16392,M001202,Democrat
66,RepBrady,13329,B001227,Democrat
67,RepHensarling,26767,H001036,Republican
68,RepMoBrooks,27710,B001274,Republican
69,JeffFortenberry,19502,F000449,Republican
70,RepRoybalAllard,22437,R000486,Democrat
71,RepRyanCostello,14920,C001106,Republican
72,SenatorCarper,88305,C000174,Democrat
73,WarrenDavidson,8432,D000626,Republican
74,RepGoodlatte,103995,G000289,Republican
75,KenCalvert,17204,C000059,Republican
76,RepLoudermilk,13927,L000583,Republican
77,RepRubenGallego,71926,G000574,Democrat
78,RepPittenger,14561,P000606,Republican
79,RepMikeBishop,13937,B001293,Republican
80,NancyPelosi,1669492,P000197,Democrat
81,SteveScalise,275343,S001176,Republican
82,RepRWilliams,10200,W000816,Republican
83,RepPeterDeFazio,25873,D000191,Democrat
84,RepScottPerry,14854,P000605,Republican
85,SenBooker,123573,B001288,Democrat
86,SenOrrinHatch,125728,H000338,Republican
87,BobbyScott,29458,S000185,Democrat
88,RepBuddyCarter,14032,C001103,Republican
89,RepMarkWalker,12160,W000819,Republican
90,RobWittman,26098,W000804,Republican
91,RepLloydDoggett,30324,D000399,Democrat
92,RepMullin,17091,M001190,Republican
93,RepPaulCook,14840,C001094,Republican
94,SenatorCollins,487105,C001035,Republican
95,RepJoeKennedy,720316,K000379,Democrat
96,RepBera,29575,B001287,Democrat
97,RepVeasey,19372,V000131,Democrat
98,RepBenRayLujan,17766,L000570,Democrat
99,RodneyDavis,18598,D000619,Republican
100,RepHalRogers,15066,R000395,Republican
101,RepSanfordSC,12399,S000051,Republican
102,RepRobBishop,3439,B001250,Republican
103,SenSchumer,1521223,S000148,Democrat
104,RepDonBeyer,63481,B001292,Democrat
105,RepLoBiondo,16916,L000554,Republican
106,RepWilson,65238,W000808,Democrat
107,senthomtillis,66250,T000476,Republican
108,LisaMurkowski,237088,M001153,Republican
109,RepLouBarletta,27634,B001269,Republican
110,DaveLoebsack,7886,L000565,Democrat
111,RepDianaDeGette,41768,D000197,Democrat
112,RepJuanVargas,18719,V000130,Democrat
113,MichaelCBurgess,27248,B001248,Republican
114,RepDavidRouzer,7799,R000603,Republican
115,RepDougCollins,17388,C001093,Republican
116,SenatorTimScott,372466,S001184,Republican
117,RepMattGaetz,152808,G000578,Republican
118,RepMikeCoffman,40921,C001077,Republican
119,DesJarlaisTN04,16288,D000616,Republican
120,RandPaul,2401919,P000603,Republican
121,RepLaHood,10432,L000585,Republican
122,repdavetrott,14236,T000475,Republican
123,RepPerlmutter,30305,P000593,Democrat
124,SenatorMenendez,154501,M000639,Democrat
125,RepJohnDelaney,19405,D000620,Democrat
126,SenatorShaheen,97704,S001181,Democrat
127,RepJimCosta,16776,C001059,Democrat
128,BlumenauerMedia,3056,B000574,Democrat
129,RepCummings,234434,C000984,Democrat
130,RepMcSally,38591,M001197,Republican
131,RepKevinCramer,14303,C001096,Republican
132,RepEBJ,30757,J000126,Democrat
133,RepMcCaul,27277,M001157,Republican
134,RepAndyBiggsAZ,13958,B001302,Republican
135,RepTomEmmer,11329,E000294,Republican
136,RepCheri,29073,B001286,Democrat
137,RepPeteKing,34679,K000210,Republican
138,repjackyrosen,12079,R000608,Democrat
139,SenJohnKennedy,35184,K000393,Republican
140,LamarSmithTX21,27605,S000583,Republican
141,RepMikeCapuano,10427,C001037,Democrat
142,RepRobWoodall,11076,W000810,Republican
143,RepMcGovern,38204,M000312,Democrat
144,MarkAmodeiNV2,12455,A000369,Republican
145,SenMarkey,139674,M000133,Democrat
146,RepTomSuozzi,5911,S001201,Democrat
147,SteveDaines,41305,D000618,Republican
148,RepAlLawsonJr,4438,L000586,Democrat
149,RepSmucker,6482,S001199,Republican
150,RepTedLieu,120556,L000582,Democrat
151,SteveKingIA,101933,K000362,Republican
152,RepDaveBrat,16886,B001290,Republican
153,RepLujanGrisham,26529,L000580,Democrat
154,RepDaveJoyce,19467,J000295,Republican
155,RepDonaldPayne,14386,P000604,Democrat
156,RepArrington,5423,A000375,Republican
157,RepLizCheney,6568,C001109,Republican
158,repjenniffer,9142,G000582,Republican
159,RepComstock,17148,C001105,Republican
160,JacksonLeeTX18,61054,J000032,Democrat
161,RepDrewFerguson,4619,F000465,Republican
162,ToddRokita,23002,R000592,Republican
163,RepJasonSmith,27287,S001195,Republican
164,InhofePress,15575,I000024,Republican
165,RepThompson,23366,T000460,Democrat
166,Raul_Labrador,22862,L000573,Republican
167,RepWalterJones,24078,J000255,Republican
168,USRepRickNolan,12681,N000127,Democrat
169,BettyMcCollum04,27398,M001143,Democrat
170,RepFrankLucas,17257,L000491,Republican
171,SenatorFischer,69530,F000463,Republican
172,USRepGaryPalmer,14783,P000609,Republican
173,RepJerryNadler,62758,N000002,Democrat
174,RepRobinKelly,22993,K000385,Democrat
175,RepJohnCurtis,1440,C001114,Republican
176,SenDanSullivan,31063,S001198,Republican
177,RepMaxineWaters,874697,W000187,Democrat
178,Rep_Hunter,17179,H001048,Republican
179,RepAbraham,14406,A000374,Republican
180,SenDeanHeller,106097,H001041,Republican
181,SenCapito,61920,C001047,Republican
182,CongressmanRuiz,18397,R000599,Democrat
183,AustinScottGA08,18675,S001189,Republican
184,ChuckGrassley,326571,G000386,Republican
185,RepFilemonVela,13319,V000132,Democrat
186,RepMikeTurner,20819,T000463,Republican
187,RepBlaine,11194,L000569,Republican
188,CongPalazzo,14816,P000601,Republican
189,JohnCornyn,163421,C001056,Republican
190,RepJimCooper,22443,C000754,Democrat
191,RepHartzler,19911,H001053,Republican
192,RepRussell,9556,R000604,Republican
193,McCaskillOffice,16901,M001170,Democrat
194,RepHastingsFL,22611,H000324,Democrat
195,RepAndyHarrisMD,14138,H001052,Republican
196,RepJimmyGomez,6107,G000585,Democrat
197,RepTenney,5668,T000478,Republican
198,RepDarrenSoto,6858,S001200,Democrat
199,PatrickMcHenry,23957,M001156,Republican
200,SenJohnThune,91181,T000250,Republican
201,RepAnnieKuster,18672,K000382,Democrat
202,RepBarragan,9021,B001300,Democrat
203,JudgeCarter,14578,C001051,Republican
204,RepJoeCourtney,22675,C001069,Democrat
205,RepSteveStivers,31321,S001187,Republican
206,RepStevePearce,13530,P000588,Republican
207,CongBoyle,8416,B001296,Democrat
208,CongBillPosey,21843,P000599,Republican
209,RepRickCrawford,16943,C001087,Republican
210,RepJohnYarmuth,34143,Y000062,Democrat
211,RepMikeJohnson,3747,J000299,Republican
212,SenTinaSmith,31613,S001203,Democrat
213,hurdonthehill,31603,H001073,Republican
214,RepSwalwell,374983,S001193,Democrat
215,RepTomMacArthur,14814,M001193,Republican
216,RepKevinYoder,32713,Y000063,Republican
217,RepValDemings,9953,D000627,Democrat
218,RepMcNerney,21510,M001166,Democrat
219,MarioDB,39043,D000600,Republican
220,RepKenMarchant,25235,M001158,Republican
221,repsheaporter,6924,S001170,Democrat
