,name,followers,id
0,JimPressOffice,6950,S000244
1,RepAdams,11655,A000370
2,RepGaramendi,25961,G000559
3,SenAlexander,92095,A000360
4,RepAlGreen,50070,G000553
5,RepTomRice,15225,R000597
6,Rep_SteveWomack,18794,W000809
7,RepBonnie,22366,W000822
8,RepJaredPolis,16259,P000598
9,RepSusanDavis,18533,D000598
10,RepJudyChu,57585,C001080
11,RepSpeier,124361,S001175
12,repdonbacon,5918,B001298
13,GrahamBlog,119782,G000359
14,RepVisclosky,13378,V000108
15,RepJayapal,68041,J000298
16,RepCardenas,18245,C001097
17,RepGusBilirakis,27892,B001257
18,MikeCrapo,74806,C000880
19,reprohrabacher,6276,R000409
20,RepMarkTakano,46886,T000472
21,RepMikeQuigley,38272,Q000023
22,SenatorIsakson,59292,I000055
23,RepDwightEvans,11666,E000296
24,congressmanhice,17283,H001071
25,RepBillShuster,21236,S001154
26,ChrisCoons,118998,C001088
27,RoyBlunt,93422,B000575
28,RepDavid,24520,S001183
29,RepJohnLewis,991595,L000287
30,RepTipton,21194,T000470
31,RepByrne,18882,B001289
32,SenWarren,4644049,W000817
33,RepFredUpton,23175,U000031
34,RepBobGibbs,34338,G000563
35,USRepMikeDoyle,17434,D000482
36,EleanorNorton,30391,N000147
37,DarrellIssa,300940,I000056
38,SenTomCotton,135682,C001095
39,SenatorRounds,18929,R000605
40,RepPoliquin,9834,P000611
41,SenatorLeahy,172419,L000174
42,SenJeffMerkley,414895,M001176
43,McConnellPress,81100,M000355
44,RepJoshG,6481,G000583
45,DrPhilRoe,16864,R000582
46,RepJeffries,58855,J000294
47,RepDannyDavis,10629,D000096
48,RepDelBene,23628,D000617
49,SenatorRisch,66455,R000584
50,RepDanKildee,33068,K000380
51,RepKevinBrady,40020,B000755
52,RepThomasMassie,49291,M001184
53,ConawayTX11,15780,C001062
54,RepRickLarsen,17218,L000560
55,RepKayGranger,19297,G000377
56,NormaJTorres,16559,T000474
57,RepJoeCrowley,32230,C001038
58,SenSherrodBrown,349681,B000944
59,SenBrianSchatz,44162,S001194
60,TXRandy14,14173,W000814
61,MarkWarner,417323,W000805
62,RepLanceNJ7,16646,L000567
63,PeterWelch,14695,W000800
64,repbrianmast,10559,M001199
65,RepStephMurphy,16392,M001202
66,RepBrady,13329,B001227
67,RepHensarling,26767,H001036
68,RepMoBrooks,27710,B001274
69,JeffFortenberry,19502,F000449
70,RepRoybalAllard,22437,R000486
71,RepRyanCostello,14920,C001106
72,SenatorCarper,88305,C000174
73,WarrenDavidson,8432,D000626
74,RepGoodlatte,103995,G000289
75,KenCalvert,17204,C000059
76,RepLoudermilk,13927,L000583
77,RepRubenGallego,71926,G000574
78,RepPittenger,14561,P000606
79,RepMikeBishop,13937,B001293
80,NancyPelosi,1669492,P000197
81,SteveScalise,275343,S001176
82,RepRWilliams,10200,W000816
83,RepPeterDeFazio,25873,D000191
84,RepScottPerry,14854,P000605
85,SenBooker,123573,B001288
86,SenOrrinHatch,125728,H000338
87,BobbyScott,29458,S000185
88,RepBuddyCarter,14032,C001103
89,RepMarkWalker,12160,W000819
90,RobWittman,26098,W000804
91,RepLloydDoggett,30324,D000399
92,RepMullin,17091,M001190
93,RepPaulCook,14840,C001094
94,SenatorCollins,487105,C001035
95,RepJoeKennedy,720316,K000379
96,RepBera,29575,B001287
97,RepVeasey,19372,V000131
98,RepBenRayLujan,17766,L000570
99,RodneyDavis,18598,D000619
100,RepHalRogers,15066,R000395
101,RepSanfordSC,12399,S000051
102,RepRobBishop,3439,B001250
103,SenSchumer,1521223,S000148
104,RepDonBeyer,63481,B001292
105,RepLoBiondo,16916,L000554
106,RepWilson,65238,W000808
107,senthomtillis,66250,T000476
108,LisaMurkowski,237088,M001153
109,RepLouBarletta,27634,B001269
110,DaveLoebsack,7886,L000565
111,RepDianaDeGette,41768,D000197
112,RepJuanVargas,18719,V000130
113,MichaelCBurgess,27248,B001248
114,RepDavidRouzer,7799,R000603
115,RepDougCollins,17388,C001093
116,SenatorTimScott,372466,S001184
117,RepMattGaetz,152808,G000578
118,RepMikeCoffman,40921,C001077
119,DesJarlaisTN04,16288,D000616
120,RandPaul,2401919,P000603
121,RepLaHood,10432,L000585
122,repdavetrott,14236,T000475
123,RepPerlmutter,30305,P000593
124,SenatorMenendez,154501,M000639
125,RepJohnDelaney,19405,D000620
126,SenatorShaheen,97704,S001181
127,RepJimCosta,16776,C001059
128,BlumenauerMedia,3056,B000574
129,RepCummings,234434,C000984
130,RepMcSally,38591,M001197
131,RepKevinCramer,14303,C001096
132,RepEBJ,30757,J000126
133,RepMcCaul,27277,M001157
134,RepAndyBiggsAZ,13958,B001302
135,RepTomEmmer,11329,E000294
136,RepCheri,29073,B001286
137,RepPeteKing,34679,K000210
138,repjackyrosen,12079,R000608
139,SenJohnKennedy,35184,K000393
140,LamarSmithTX21,27605,S000583
141,RepMikeCapuano,10427,C001037
142,RepRobWoodall,11076,W000810
143,RepMcGovern,38204,M000312
144,MarkAmodeiNV2,12455,A000369
145,SenMarkey,139674,M000133
146,RepTomSuozzi,5911,S001201
147,SteveDaines,41305,D000618
148,RepAlLawsonJr,4438,L000586
149,RepSmucker,6482,S001199
150,RepTedLieu,120556,L000582
151,SteveKingIA,101933,K000362
152,RepDaveBrat,16886,B001290
153,RepLujanGrisham,26529,L000580
154,RepDaveJoyce,19467,J000295
155,RepDonaldPayne,14386,P000604
156,RepArrington,5423,A000375
157,RepLizCheney,6568,C001109
158,repjenniffer,9142,G000582
159,RepComstock,17148,C001105
160,JacksonLeeTX18,61054,J000032
161,RepDrewFerguson,4619,F000465
162,ToddRokita,23002,R000592
163,RepJasonSmith,27287,S001195
164,InhofePress,15575,I000024
165,RepThompson,23366,T000460
166,Raul_Labrador,22862,L000573
167,RepWalterJones,24078,J000255
168,USRepRickNolan,12681,N000127
169,BettyMcCollum04,27398,M001143
170,RepFrankLucas,17257,L000491
171,SenatorFischer,69530,F000463
172,USRepGaryPalmer,14783,P000609
173,RepJerryNadler,62758,N000002
174,RepRobinKelly,22993,K000385
175,RepJohnCurtis,1440,C001114
176,SenDanSullivan,31063,S001198
177,RepMaxineWaters,874697,W000187
178,Rep_Hunter,17179,H001048
179,RepAbraham,14406,A000374
180,SenDeanHeller,106097,H001041
181,SenCapito,61920,C001047
182,CongressmanRuiz,18397,R000599
183,AustinScottGA08,18675,S001189
184,ChuckGrassley,326571,G000386
185,RepFilemonVela,13319,V000132
186,RepMikeTurner,20819,T000463
187,RepBlaine,11194,L000569
188,CongPalazzo,14816,P000601
189,JohnCornyn,163421,C001056
190,RepJimCooper,22443,C000754
191,RepHartzler,19911,H001053
192,RepRussell,9556,R000604
193,McCaskillOffice,16901,M001170
194,RepHastingsFL,22611,H000324
195,RepAndyHarrisMD,14138,H001052
196,RepJimmyGomez,6107,G000585
197,RepTenney,5668,T000478
198,RepDarrenSoto,6858,S001200
199,PatrickMcHenry,23957,M001156
200,SenJohnThune,91181,T000250
201,RepAnnieKuster,18672,K000382
202,RepBarragan,9021,B001300
203,JudgeCarter,14578,C001051
204,RepJoeCourtney,22675,C001069
205,RepSteveStivers,31321,S001187
206,RepStevePearce,13530,P000588
207,CongBoyle,8416,B001296
208,CongBillPosey,21843,P000599
209,RepRickCrawford,16943,C001087
210,RepJohnYarmuth,34143,Y000062
211,RepMikeJohnson,3747,J000299
212,SenTinaSmith,31613,S001203
213,hurdonthehill,31603,H001073
214,RepSwalwell,374983,S001193
215,RepTomMacArthur,14814,M001193
216,RepKevinYoder,32713,Y000063
217,RepValDemings,9953,D000627
218,RepMcNerney,21510,M001166
219,MarioDB,39043,D000600
220,RepKenMarchant,25235,M001158
221,repsheaporter,6924,S001170
222,RepLukeMesser,15859,M001189
223,RepDerekKilmer,23631,K000381
224,RepAmata,2808,R000600
225,GraceNapolitano,30255,N000179
226,RepLowenthal,26527,L000579
227,RepDennyHeck,21852,H001064
228,RepSires,18840,S001165
229,USRepLong,17885,L000576
230,RosLehtinen,133709,R000435
231,RepPaulMitchell,4429,M001201
232,RonWyden,436564,W000779
233,Robert_Aderholt,22865,A000055
234,senmurphyoffice,3238,M001169
235,JuliaBrownley26,14807,B001285
236,SenStabenow,92931,S000770
237,ChelliePingree,23562,P000597
238,RepMGriffith,25777,G000568
239,sendougjones,17734,J000300
240,SenJoniErnst,46882,E000295
241,SenGillibrand,1290908,G000555
242,HerreraBeutler,18752,H001056
243,RepNewhouse,11123,N000189
244,RepDonYoung,17683,Y000033
245,RepJohnFaso,7141,F000464
246,RepStefanik,18455,S001196
247,RepKathleenRice,25844,R000602
248,RepChuck,14337,F000459
249,RepHankJohnson,31419,J000288
250,RepMarcyKaptur,17612,K000009
251,TulsiPress,101869,G000571
252,RepWebster,23416,W000806
253,RepRoKhanna,20207,K000389
254,RepJeffDenham,23462,D000612
255,GKButterfield,16685,B001251
